,name,rating,location,user_ratings_total,types
0,Graffiti Park at Castle Hill,4.4,"{'lat': 30.276165, 'lng': -97.753309}",3677,"['tourist_attraction', 'point_of_interest', 'establishment']"
1,Tailgait Corner # 4,0.0,"{'lat': 30.277875, 'lng': -97.74102800000001}",0,"['shopping_mall', 'point_of_interest', 'establishment']"
2,Graffiti Park at Castle Hill,4.4,"{'lat': 30.276165, 'lng': -97.753309}",3677,"['tourist_attraction', 'point_of_interest', 'establishment']"
3,The Carillon,4.4,"{'lat': 30.2815251, 'lng': -97.7401848}",107,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
4,Landmark Sq Condominiums,0.0,"{'lat': 30.28546369999999, 'lng': -97.74573079999999}",0,"['point_of_interest', 'establishment']"
5,Bullock Texas State History Museum,4.7,"{'lat': 30.2802637, 'lng': -97.7387272}",4376,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
6,Springdale Shopping Center,3.9,"{'lat': 30.3128214, 'lng': -97.6639589}",1642,"['shopping_mall', 'point_of_interest', 'establishment']"
7,Dottie Jordan Neighborhood Park,4.4,"{'lat': 30.3141513, 'lng': -97.67397179999999}",244,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
8,The Silver Medal,4.8,"{'lat': 30.3227812, 'lng': -97.6825918}",38,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
9,National Fortnite History Center,0.0,"{'lat': 30.3174334, 'lng': -97.6605113}",0,"['museum', 'point_of_interest', 'establishment']"
10,Allen Park,4.5,"{'lat': 30.344571, 'lng': -97.7546984}",66,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
11,Far West Retail Center,4.4,"{'lat': 30.3550303, 'lng': -97.75553819999999}",9,"['shopping_mall', 'point_of_interest', 'establishment']"
12,Allen Park,4.5,"{'lat': 30.344571, 'lng': -97.7546984}",66,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
13,Tee's Donut's,5.0,"{'lat': 30.3561934, 'lng': -97.7579535}",10,"['restaurant', 'food', 'point_of_interest', 'establishment']"
14,Shady Oaks,0.0,"{'lat': 30.25858029999999, 'lng': -97.88875519999999}",0,"['health', 'point_of_interest', 'establishment']"
15,Landmark Conservancy,3.5,"{'lat': 30.2596061, 'lng': -97.90224979999999}",41,"['point_of_interest', 'establishment']"
16,Louis René Barrera Indiangrass Wildlife Sanctuary,4.8,"{'lat': 30.3163236, 'lng': -97.5928249}",8,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
17,Louis René Barrera Indiangrass Wildlife Sanctuary,4.8,"{'lat': 30.3163236, 'lng': -97.5928249}",8,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
18,giant spider sculpture,4.7,"{'lat': 30.2893729, 'lng': -97.6992716}",60,"['tourist_attraction', 'point_of_interest', 'establishment']"
19,Mueller Regional Retail Center,4.5,"{'lat': 30.3057763, 'lng': -97.7097641}",60,"['shopping_mall', 'point_of_interest', 'establishment']"
20,Mueller Lake Park,4.7,"{'lat': 30.2967706, 'lng': -97.70585229999999}",3571,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
21,L'Oca d'Oro,4.5,"{'lat': 30.2972489, 'lng': -97.70467219999999}",352,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
22,Josiah Pugh Wilbarger Historical Marker,0.0,"{'lat': 30.3039013, 'lng': -97.69866669999999}",0,"['point_of_interest', 'establishment']"
23,Thinkery,4.7,"{'lat': 30.297417, 'lng': -97.704971}",3535,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
24,Windsor Village Shopping Center,4.0,"{'lat': 30.3122261, 'lng': -97.6919897}",448,"['shopping_mall', 'point_of_interest', 'establishment']"
25,Saint Mary Mural,0.0,"{'lat': 30.3158809, 'lng': -97.68587579999999}",0,"['museum', 'point_of_interest', 'establishment']"
26,Little Deli & Pizzeria,4.8,"{'lat': 30.31423, 'lng': -97.69002049999999}",125,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
27,Josiah Pugh Wilbarger Historical Marker,0.0,"{'lat': 30.3039013, 'lng': -97.69866669999999}",0,"['point_of_interest', 'establishment']"
28,Saint Mary Mural,0.0,"{'lat': 30.3158809, 'lng': -97.68587579999999}",0,"['museum', 'point_of_interest', 'establishment']"
29,Goat Cave Karst Nature Preserve,3.9,"{'lat': 30.1985326, 'lng': -97.8471649}",74,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"
30,Heart Of Texas Shopping Center,4.5,"{'lat': 30.2002793, 'lng': -97.8382127}",68,"['shopping_mall', 'point_of_interest', 'establishment']"
31,Western Oaks Trail,4.3,"{'lat': 30.2070801, 'lng': -97.85927869999999}",3,"['tourist_attraction', 'point_of_interest', 'establishment']"
32,Alma's Tacos,4.7,"{'lat': 30.20084959999999, 'lng': -97.8380238}",71,"['restaurant', 'food', 'point_of_interest', 'establishment']"
33,Counselor Drive Vineyard,4.0,"{'lat': 30.2008498, 'lng': -97.84329819999999}",3,"['bar', 'point_of_interest', 'establishment']"
34,Industrial Park,5.0,"{'lat': 30.34224, 'lng': -97.67120229999999}",3,"['park', 'point_of_interest', 'establishment']"
35,El Sabor Mexicano,4.7,"{'lat': 30.3512026, 'lng': -97.67316919999999}",9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
36,Slaughter Creek At Twin Oaks Greenbelt,4.5,"{'lat': 30.1564365, 'lng': -97.79783599999999}",11,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
37,The Shops At Onion Creek,4.3,"{'lat': 30.1375158, 'lng': -97.79628869999999}",6,"['shopping_mall', 'point_of_interest', 'establishment']"
38,Slaughter Creek At Twin Oaks Greenbelt,4.5,"{'lat': 30.1564365, 'lng': -97.79783599999999}",11,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
39,Opera Café & Coffeehouse,4.5,"{'lat': 30.1372164, 'lng': -97.79578959999999}",186,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
40,Matthew Brown Homestead,0.0,"{'lat': 30.1541753, 'lng': -97.7963728}",0,"['museum', 'point_of_interest', 'establishment']"
41,North Star Greenbelt,4.5,"{'lat': 30.3940618, 'lng': -97.69737889999999}",113,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
42,Midtown Center,4.2,"{'lat': 30.382025, 'lng': -97.6852988}",47,"['shopping_mall', 'point_of_interest', 'establishment']"
43,Walnut Creek Metropolitan Park,4.7,"{'lat': 30.4008039, 'lng': -97.686422}",2327,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"
44,Santorini Cafe,4.8,"{'lat': 30.3877289, 'lng': -97.6841055}",1328,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
45,Barton Creek Wilderness Park,4.7,"{'lat': 30.2585921, 'lng': -97.8241657}",159,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"
46,Sculpture Falls,4.8,"{'lat': 30.26185019999999, 'lng': -97.8235253}",408,"['tourist_attraction', 'natural_feature', 'point_of_interest', 'establishment']"
47,South Congress Square,4.2,"{'lat': 30.2374261, 'lng': -97.753006}",93,"['shopping_mall', 'point_of_interest', 'establishment']"
48,Peace Garden,0.0,"{'lat': 30.2314077, 'lng': -97.7562464}",0,"['park', 'point_of_interest', 'establishment']"
49,Flavia’s Kitchen,5.0,"{'lat': 30.2418788, 'lng': -97.758414}",25,"['restaurant', 'food', 'point_of_interest', 'establishment']"
50,Establishment,4.1,"{'lat': 30.231082, 'lng': -97.76629}",43,"['point_of_interest', 'establishment']"
51,The Art of Ice Cream Experience,3.5,"{'lat': 30.230744, 'lng': -97.759996}",62,"['museum', 'point_of_interest', 'establishment']"
52,Woodlands Park,4.8,"{'lat': 30.179144, 'lng': -97.8411909}",6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
53,Woodlands Park,4.8,"{'lat': 30.179144, 'lng': -97.8411909}",6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
54,Taco bella’s food trailer,5.0,"{'lat': 30.1795088, 'lng': -97.84055}",31,"['restaurant', 'food', 'point_of_interest', 'establishment']"
55,Landmark at Prescott Woods Apartment Homes,3.8,"{'lat': 30.1813081, 'lng': -97.83962129999999}",88,"['real_estate_agency', 'point_of_interest', 'establishment']"
56,Willow Bend Park,4.5,"{'lat': 30.4552398, 'lng': -97.6805839}",75,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
57,Goodwill,4.7,"{'lat': 30.4604733, 'lng': -97.6718051}",7,"['shopping_mall', 'point_of_interest', 'establishment']"
58,Willow Bend Park,4.5,"{'lat': 30.4552398, 'lng': -97.6805839}",75,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"
59,Joe’s Italian Kitchen,4.4,"{'lat': 30.4552146, 'lng': -97.65949599999999}",245,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
60,Landmark Electric,3.5,"{'lat': 30.4671785, 'lng': -97.66208429999999}",4,"['point_of_interest', 'establishment']"
