"id","name","rating","user_ratings_total","latitude","longitude","types1","types2","types3","types4","types5","types6","types7","latitude_region","user_input"
706,"Mikado Ryotei",4.5,369,30.37344,-97.72468599999999,"bar"," restaurant"," food"," point_of_interest"," establishment","","","North",False
707,"To. Austin Archive",0,0,30.3269914,-97.6764309,"shopping_mall"," point_of_interest"," establishment","","","","","North",False
708,"Earl J. Pomerleau Pocket Park",4.3,6,30.3184832,-97.68679089999999,"park"," point_of_interest"," establishment","","","","","North",False
711,"Jim Ernst Interest",0,0,30.401356,-97.7525352,"point_of_interest"," establishment","","","","","","North",False
716,"La Placita",4.4,241,30.1945888,-97.7451895,"restaurant"," food"," point_of_interest"," establishment","","","","Central",False
717,"Dittmar District Park",4.4,297,30.1825707,-97.7997206,"park"," tourist_attraction"," point_of_interest"," establishment","","","","Central",False
719,"Rosa's Café & Tortilla Factory",4.2,1305,30.1713294,-97.79909769999999,"restaurant"," meal_takeaway"," food"," point_of_interest"," establishment","","","Central",False
720,"Sullivan Park",4.4,8,30.1397276,-97.79038589999999,"park"," point_of_interest"," establishment","","","","","South",False
721,"Historical Marker",3.7,3,30.176056,-97.70862480000001,"park"," point_of_interest"," establishment","","","","","Central",False
722,"Alicia’s Tacoriendo",4.9,21,30.170679,-97.68984979999999,"restaurant"," food"," point_of_interest"," establishment","","","","Central",False
723,"Pastor Edward Clarence Craig, Jr. Neighborhood Park",4.4,139,30.1989,-97.739792,"park"," tourist_attraction"," point_of_interest"," establishment","","","","Central",False
728,"Brooklyn breakfast shop",5,35,30.1852909,-97.7920979,"restaurant"," food"," point_of_interest"," establishment","","","","Central",False
729,"AUSDTX",0,0,30.19730119999999,-97.8044192,"point_of_interest"," establishment","","","","","","Central",False
730,"Tom-Cruz Studios",0,0,30.1905608,-97.78987149999999,"museum"," point_of_interest"," establishment","","","","","Central",False
731,"Kendra Page Neighborhood Park",3.9,57,30.18003479999999,-97.7641629,"park"," tourist_attraction"," point_of_interest"," establishment","","","","Central",False
769,"Quest4ahome",0,0,30.1740879,-97.7786271,"point_of_interest"," establishment","","","","","","Central",False
772,"Grand Meadow Neighborhood Park",3.8,55,30.156798,-97.74274349999999,"park"," tourist_attraction"," point_of_interest"," establishment","","","","Central",False
773,"Papa John's Pizza",3.6,135,30.1573674,-97.7446082,"restaurant"," food"," point_of_interest"," establishment","","","","Central",False
774,"MI Homes Model Home",2,1,30.1546981,-97.75446939999999,"point_of_interest"," establishment","","","","","","Central",False
775,"South Boggy Creek Greenbelt",3.8,9,30.18055279999999,-97.78049829999999,"cemetery"," tourist_attraction"," park"," point_of_interest"," establishment","","","Central",False
776,"Century South",4,1072,30.1898169,-97.7742949,"shopping_mall"," point_of_interest"," establishment","","","","","Central",False
779,"Boggy Creek Masonic Cemetery",4.5,12,30.1824482,-97.7807023,"point_of_interest"," establishment","","","","","","Central",False
781,"Auto Relief Tires",5,15,30.1872771,-97.60660349999999,"car_repair"," point_of_interest"," store"," establishment","","","","Central",False
782,"Barkley Meadows Park",0,0,30.1874628,-97.624219,"park"," point_of_interest"," establishment","","","","","Central",False
783,"Sonic Drive-In",3.3,439,30.1799662,-97.6144239,"restaurant"," food"," point_of_interest"," store"," establishment","","","Central",False
0,"Graffiti Park at Castle Hill",4.4,3677,30.276165,-97.753309,"tourist_attraction"," point_of_interest"," establishment","","","","","North",False
1,"Tailgait Corner # 4",0,0,30.277875,-97.74102800000001,"shopping_mall"," point_of_interest"," establishment","","","","","North",False
3,"The Carillon",4.4,107,30.2815251,-97.7401848,"bar"," restaurant"," food"," point_of_interest"," establishment","","","North",False
601,"Battle Bend Neighborhood Park",4.1,144,30.2139839,-97.76805,"park"," tourist_attraction"," point_of_interest"," establishment","","","","North",False
4,"Landmark Sq Condominiums",0,0,30.28546369999999,-97.74573079999999,"point_of_interest"," establishment","","","","","","North",False
6,"Springdale Shopping Center",3.9,1642,30.3128214,-97.6639589,"shopping_mall"," point_of_interest"," establishment","","","","","North",False
7,"Dottie Jordan Neighborhood Park",4.4,244,30.3141513,-97.67397179999999,"park"," tourist_attraction"," point_of_interest"," establishment","","","","North",False
8,"The Silver Medal",4.8,38,30.3227812,-97.6825918,"restaurant"," bar"," food"," point_of_interest"," establishment","","","North",False
10,"Allen Park",4.5,66,30.344571,-97.7546984,"park"," tourist_attraction"," point_of_interest"," establishment","","","","North",False
